iter	Passed	Remaining
0	171	171162
1	189	94418
2	207	68989
3	225	56113
4	238	47479
5	250	41521
6	263	37308
7	275	34128
8	288	31797
9	300	29702
10	312	28090
11	325	26773
12	336	25526
13	348	24560
14	361	23712
15	374	23018
16	388	22479
17	400	21864
18	415	21444
19	432	21180
20	447	20860
21	459	20428
22	476	20232
23	491	19991
24	505	19710
25	519	19457
26	533	19214
27	546	18961
28	556	18638
29	568	18395
30	584	18263
31	597	18085
32	611	17904
33	622	17698
34	636	17550
35	650	17411
36	663	17272
37	678	17164
38	692	17064
39	704	16913
40	722	16892
41	736	16788
42	748	16666
43	762	16561
44	773	16411
45	813	16861
46	824	16722
47	844	16750
48	856	16621
49	868	16494
50	882	16423
51	898	16376
52	916	16370
53	930	16295
54	950	16327
55	964	16264
56	984	16290
57	998	16214
58	1011	16131
59	1024	16052
60	1038	15980
61	1053	15934
62	1065	15846
63	1080	15807
64	1099	15819
65	1117	15808
66	1129	15727
67	1142	15665
68	1156	15599
69	1169	15531
70	1182	15475
71	1194	15396
72	1206	15317
73	1217	15231
74	1226	15128
75	1235	15016
76	1243	14910
77	1257	14858
78	1276	14884
79	1291	14847
80	1305	14813
81	1320	14783
82	1337	14776
83	1352	14748
84	1369	14739
85	1392	14794
86	1407	14775
87	1428	14804
88	1444	14784
89	1458	14749
90	1473	14716
91	1485	14663
92	1513	14759
93	1527	14722
94	1541	14682
95	1555	14650
96	1572	14635
97	1584	14581
98	1597	14541
99	1611	14504
100	1625	14467
101	1640	14438
102	1653	14398
103	1665	14345
104	1677	14301
105	1689	14250
106	1701	14198
107	1715	14169
108	1729	14137
109	1740	14083
110	1751	14030
111	1765	13999
112	1778	13963
113	1790	13915
114	1803	13875
115	1814	13826
116	1829	13809
117	1841	13763
118	1853	13720
119	1867	13692
120	1879	13655
121	1894	13635
122	1907	13601
123	1919	13563
124	1932	13528
125	1945	13496
126	1959	13470
127	1971	13430
128	1984	13400
129	1996	13360
130	2009	13330
131	2023	13306
132	2037	13282
133	2053	13267
134	2069	13259
135	2085	13247
136	2098	13219
137	2110	13183
138	2123	13153
139	2137	13128
140	2156	13135
141	2170	13116
142	2189	13122
143	2207	13120
144	2225	13122
145	2239	13097
146	2258	13108
147	2272	13084
148	2288	13070
149	2304	13056
150	2320	13048
151	2337	13038
152	2354	13036
153	2368	13012
154	2385	13007
155	2403	13003
156	2416	12973
157	2430	12954
158	2443	12922
159	2456	12898
160	2469	12868
161	2483	12845
162	2497	12822
163	2509	12790
164	2522	12767
165	2534	12735
166	2548	12711
167	2559	12677
168	2573	12653
169	2585	12622
170	2599	12601
171	2611	12571
172	2625	12549
173	2636	12518
174	2650	12494
175	2662	12464
176	2675	12441
177	2691	12430
178	2708	12424
179	2729	12433
180	2748	12436
181	2763	12422
182	2783	12427
183	2800	12420
184	2814	12399
185	2826	12371
186	2844	12367
187	2859	12351
188	2876	12344
189	2893	12336
190	2911	12331
191	2931	12337
192	2949	12334
193	2964	12316
194	2979	12300
195	2991	12271
196	3003	12242
197	3016	12216
198	3028	12190
199	3040	12162
200	3052	12134
201	3063	12103
202	3076	12080
203	3089	12056
204	3103	12034
205	3115	12010
206	3131	11994
207	3151	11998
208	3165	11982
209	3182	11971
210	3197	11956
211	3214	11946
212	3231	11938
213	3247	11929
214	3265	11922
215	3281	11908
216	3296	11893
217	3314	11890
218	3328	11870
219	3344	11857
220	3360	11846
221	3376	11833
222	3394	11827
223	3407	11805
224	3419	11778
225	3432	11754
226	3445	11731
227	3458	11708
228	3472	11690
229	3486	11671
230	3498	11645
231	3510	11619
232	3523	11597
233	3536	11575
234	3552	11562
235	3565	11543
236	3577	11516
237	3590	11496
238	3604	11477
239	3616	11453
240	3630	11432
241	3642	11410
242	3656	11389
243	3667	11362
244	3680	11343
245	3694	11323
246	3707	11303
247	3720	11280
248	3733	11260
249	3746	11239
250	3759	11218
251	3771	11195
252	3785	11176
253	3800	11162
254	3814	11144
255	3826	11121
256	3843	11111
257	3855	11088
258	3866	11062
259	3878	11039
260	3892	11020
261	3904	10998
262	3917	10978
263	3929	10955
264	3943	10938
265	3955	10915
266	3968	10894
267	3982	10877
268	3996	10859
269	4009	10840
270	4021	10817
271	4036	10803
272	4050	10787
273	4063	10765
274	4077	10748
275	4089	10727
276	4101	10705
277	4114	10687
278	4130	10674
279	4146	10662
280	4163	10654
281	4178	10639
282	4192	10622
283	4211	10616
284	4230	10612
285	4247	10604
286	4264	10593
287	4280	10581
288	4295	10567
289	4311	10556
290	4329	10548
291	4345	10536
292	4359	10518
293	4376	10509
294	4391	10495
295	4406	10481
296	4420	10462
297	4436	10451
298	4449	10431
299	4462	10413
300	4475	10392
301	4486	10370
302	4500	10353
303	4515	10337
304	4529	10321
305	4540	10297
306	4552	10277
307	4565	10257
308	4583	10249
309	4596	10230
310	4608	10209
311	4622	10192
